Number of frames: 250
Frequency: 50
Units: mm

Frame,finger x,finger y,finger z,palm x,palm y,palm z
1,619.543701172,-252.103118896,136.421646118,,,,
2,619.486816406,-252.100112915,136.367065430,,,,
3,619.454711914,-252.107345581,136.317886353,,,,
4,619.450561523,-252.117172241,136.227401733,,,,
5,619.452331543,-252.117584229,136.146987915,,,,
6,619.449218750,-252.117263794,136.114639282,,,,
7,619.464294434,-252.115844727,136.120391846,,,,
8,619.492736816,-252.115493774,136.101226807,,,,
9,619.531066895,-252.117172241,136.064926147,,,,
10,619.571105957,-252.121353149,136.067214966,,,,
11,619.637817383,-252.132217407,136.089157104,,,,
12,619.679199219,-252.151382446,136.038238525,,,,
13,619.709106445,-252.176223755,135.907958984,,,,
14,619.704833984,-252.196472168,135.754165649,,,,
15,619.667602539,-252.198623657,135.649810791,,,,
16,619.618408203,-252.187774658,135.628967285,,,,
17,619.570251465,-252.176681519,135.635742188,,,,
18,619.527343750,-252.164718628,135.620742798,,,,
19,619.492919922,-252.156692505,135.599838257,,,,
20,619.479614258,-252.154388428,135.583175659,,,,
21,619.484252930,-252.154769897,135.587585449,,,,
22,619.501953125,-252.155197144,135.569808960,,,,
23,619.543395996,-252.158554077,135.517059326,,,,
24,619.592651367,-252.172012329,135.457626343,,,,
25,619.651977539,-252.187057495,135.421554565,,,,
26,619.705505371,-252.206130981,135.396453857,,,,
27,619.728088379,-252.219100952,135.391769409,,,,
28,619.726562500,-252.224029541,135.411392212,,,,
29,619.706420898,-252.223022461,135.451599121,,,,
30,619.679931641,-252.221694946,135.494705200,,,,
31,619.644897461,-252.223693848,135.519653320,,,,
32,619.611633301,-252.219375610,135.518157959,,,,
33,619.587036133,-252.213302612,135.481918335,,,,
34,619.583251953,-252.209014893,135.451889038,,,,
35,619.586669922,-252.207519531,135.463867188,,,,
36,619.606384277,-252.208908081,135.463226318,,,,
37,619.627502441,-252.210220337,135.426422119,,,,
38,619.646728516,-252.212127686,135.398696899,,,,
39,619.649597168,-252.209716797,135.419403076,,,,
40,619.620605469,-252.202835083,135.464187622,,,,
41,619.600830078,-252.196517944,135.490829468,,,,
42,619.585205078,-252.189285278,135.480346680,,,,
43,619.571472168,-252.188385010,135.448577881,,,,
44,619.572509766,-252.182571411,135.441955566,,,,
45,619.575439453,-252.185165405,135.424484253,,,,
46,619.582214355,-252.191818237,135.392715454,,,,
47,619.582885742,-252.190765381,135.404815674,,,,
48,619.570129395,-252.183578491,135.478149414,,,,
49,619.556945801,-252.176040649,135.516998291,,,,
50,619.566772461,-252.175643921,135.496261597,,,,
51,619.569824219,-252.178054810,135.443725586,,,,
52,619.575317383,-252.181457520,135.434509277,,,,
53,619.584899902,-252.183227539,135.482238770,,,,
54,619.582336426,-252.188873291,135.527435303,,,,
55,619.586120605,-252.196029663,135.552932739,,,,
56,619.559997559,-252.191894531,135.566329956,,,,
57,619.537597656,-252.184799194,135.555541992,,,,
58,619.504821777,-252.180694580,135.518402100,,,,
59,619.470214844,-252.179824829,135.453826904,,,,
60,619.437805176,-252.179229736,135.397094727,,,,
61,619.404174805,-252.179748535,135.360015869,,,,
62,619.394042969,-252.180465698,135.345016479,,,,
63,619.385253906,-252.177871704,135.360107422,,,,
64,619.386718750,-252.171325684,135.364822388,,,,
65,619.387756348,-252.173965454,135.345977783,,,,
66,619.404479980,-252.180679321,135.319381714,,,,
67,619.394958496,-252.185714722,135.323837280,,,,
68,619.378295898,-252.178970337,135.387374878,,,,
69,619.361511230,-252.174072266,135.441345215,,,,
70,619.349426270,-252.170944214,135.458450317,,,,
71,619.315734863,-252.161804199,135.458709717,,,,
72,619.258178711,-252.151596069,135.468414307,,,,
