Trial	Condition	Stimulus	delay	loc	side	cal value
1	5	Delay[-10]	3	10	left	2
2	6	Delay[-5]	3	5	left	3
3	2	noDelay[-5]	0	5	left	3
4	2	noDelay[-5]	0	5	left	3
5	8	Delay[10]	3	10	right	5
6	1	noDelay[-10]	0	10	left	2
7	3	noDelay[5]	0	5	right	4
8	7	Delay[5]	3	5	right	4
9	2	noDelay[-5]	0	5	left	3
10	5	Delay[-10]	3	10	left	2
11	5	Delay[-10]	3	10	left	2
12	6	Delay[-5]	3	5	left	3
13	4	noDelay[10]	0	10	right	5
14	5	Delay[-10]	3	10	left	2
15	1	noDelay[-10]	0	10	left	2
16	5	Delay[-10]	3	10	left	2
17	7	Delay[5]	3	5	right	4
18	7	Delay[5]	3	5	right	4
19	7	Delay[5]	3	5	right	4
20	1	noDelay[-10]	0	10	left	2
21	1	noDelay[-10]	0	10	left	2
22	3	noDelay[5]	0	5	right	4
23	4	noDelay[10]	0	10	right	5
24	4	noDelay[10]	0	10	right	5
25	2	noDelay[-5]	0	5	left	3
26	5	Delay[-10]	3	10	left	2
27	2	noDelay[-5]	0	5	left	3
28	2	noDelay[-5]	0	5	left	3
29	3	noDelay[5]	0	5	right	4
30	8	Delay[10]	3	10	right	5
31	8	Delay[10]	3	10	right	5
32	8	Delay[10]	3	10	right	5
33	6	Delay[-5]	3	5	left	3
34	2	noDelay[-5]	0	5	left	3
35	4	noDelay[10]	0	10	right	5
36	8	Delay[10]	3	10	right	5
37	8	Delay[10]	3	10	right	5
38	6	Delay[-5]	3	5	left	3
39	3	noDelay[5]	0	5	right	4
40	8	Delay[10]	3	10	right	5
41	3	noDelay[5]	0	5	right	4
42	1	noDelay[-10]	0	10	left	2
43	2	noDelay[-5]	0	5	left	3
44	5	Delay[-10]	3	10	left	2
45	2	noDelay[-5]	0	5	left	3
46	3	noDelay[5]	0	5	right	4
47	1	noDelay[-10]	0	10	left	2
48	7	Delay[5]	3	5	right	4
49	7	Delay[5]	3	5	right	4
50	4	noDelay[10]	0	10	right	5
51	4	noDelay[10]	0	10	right	5
52	8	Delay[10]	3	10	right	5
53	5	Delay[-10]	3	10	left	2
54	4	noDelay[10]	0	10	right	5
55	7	Delay[5]	3	5	right	4
56	8	Delay[10]	3	10	right	5
57	1	noDelay[-10]	0	10	left	2
58	5	Delay[-10]	3	10	left	2
59	1	noDelay[-10]	0	10	left	2
60	4	noDelay[10]	0	10	right	5
61	3	noDelay[5]	0	5	right	4
62	6	Delay[-5]	3	5	left	3
63	1	noDelay[-10]	0	10	left	2
64	7	Delay[5]	3	5	right	4
65	4	noDelay[10]	0	10	right	5
66	6	Delay[-5]	3	5	left	3
67	5	Delay[-10]	3	10	left	2
68	3	noDelay[5]	0	5	right	4
69	6	Delay[-5]	3	5	left	3
70	3	noDelay[5]	0	5	right	4
71	4	noDelay[10]	0	10	right	5
72	1	noDelay[-10]	0	10	left	2
73	6	Delay[-5]	3	5	left	3
74	2	noDelay[-5]	0	5	left	3
75	7	Delay[5]	3	5	right	4
76	6	Delay[-5]	3	5	left	3
77	7	Delay[5]	3	5	right	4
78	3	noDelay[5]	0	5	right	4
79	8	Delay[10]	3	10	right	5
80	6	Delay[-5]	3	5	left	3
