Trial	Condition	Stimulus	delay	loc	side	cal value
1	5	Delay[-10]	3	10	left	1
2	6	Delay[-5]	3	5	left	2
3	2	noDelay[-5]	0	5	left	2
4	2	noDelay[-5]	0	5	left	2
5	8	Delay[10]	3	10	right	4
6	1	noDelay[-10]	0	10	left	1
7	3	noDelay[5]	0	5	right	3
8	7	Delay[5]	3	5	right	3
9	2	noDelay[-5]	0	5	left	2
10	5	Delay[-10]	3	10	left	1
11	5	Delay[-10]	3	10	left	1
12	6	Delay[-5]	3	5	left	2
13	4	noDelay[10]	0	10	right	4
14	5	Delay[-10]	3	10	left	1
15	1	noDelay[-10]	0	10	left	1
16	5	Delay[-10]	3	10	left	1
17	7	Delay[5]	3	5	right	3
18	7	Delay[5]	3	5	right	3
19	7	Delay[5]	3	5	right	3
20	1	noDelay[-10]	0	10	left	1
21	1	noDelay[-10]	0	10	left	1
22	3	noDelay[5]	0	5	right	3
23	4	noDelay[10]	0	10	right	4
24	4	noDelay[10]	0	10	right	4
25	2	noDelay[-5]	0	5	left	2
26	5	Delay[-10]	3	10	left	1
27	2	noDelay[-5]	0	5	left	2
28	2	noDelay[-5]	0	5	left	2
29	3	noDelay[5]	0	5	right	3
30	8	Delay[10]	3	10	right	4
31	8	Delay[10]	3	10	right	4
32	8	Delay[10]	3	10	right	4
33	6	Delay[-5]	3	5	left	2
34	2	noDelay[-5]	0	5	left	2
35	4	noDelay[10]	0	10	right	4
36	8	Delay[10]	3	10	right	4
37	8	Delay[10]	3	10	right	4
38	6	Delay[-5]	3	5	left	2
39	3	noDelay[5]	0	5	right	3
40	8	Delay[10]	3	10	right	4
41	3	noDelay[5]	0	5	right	3
42	1	noDelay[-10]	0	10	left	1
43	2	noDelay[-5]	0	5	left	2
44	5	Delay[-10]	3	10	left	1
45	2	noDelay[-5]	0	5	left	2
46	3	noDelay[5]	0	5	right	3
47	1	noDelay[-10]	0	10	left	1
48	7	Delay[5]	3	5	right	3
49	7	Delay[5]	3	5	right	3
50	4	noDelay[10]	0	10	right	4
51	4	noDelay[10]	0	10	right	4
52	8	Delay[10]	3	10	right	4
53	5	Delay[-10]	3	10	left	1
54	4	noDelay[10]	0	10	right	4
55	7	Delay[5]	3	5	right	3
56	8	Delay[10]	3	10	right	4
57	1	noDelay[-10]	0	10	left	1
58	5	Delay[-10]	3	10	left	1
59	1	noDelay[-10]	0	10	left	1
60	4	noDelay[10]	0	10	right	4
61	3	noDelay[5]	0	5	right	3
62	6	Delay[-5]	3	5	left	2
63	1	noDelay[-10]	0	10	left	1
64	7	Delay[5]	3	5	right	3
65	4	noDelay[10]	0	10	right	4
66	6	Delay[-5]	3	5	left	2
67	5	Delay[-10]	3	10	left	1
68	3	noDelay[5]	0	5	right	3
69	6	Delay[-5]	3	5	left	2
70	3	noDelay[5]	0	5	right	3
71	4	noDelay[10]	0	10	right	4
72	1	noDelay[-10]	0	10	left	1
73	6	Delay[-5]	3	5	left	2
74	2	noDelay[-5]	0	5	left	2
75	7	Delay[5]	3	5	right	3
76	6	Delay[-5]	3	5	left	2
77	7	Delay[5]	3	5	right	3
78	3	noDelay[5]	0	5	right	3
79	8	Delay[10]	3	10	right	4
80	6	Delay[-5]	3	5	left	2
