Number of frames: 1500
Frequency: 500
Units: mm

Frame,finger x,finger y,finger z,thumb x,thumb y,thumb z
1,601.162292480,-209.182479858,145.593338013,617.793457031,-214.796752930,137.215545654,
2,601.149108887,-209.183563232,145.590255737,617.788818359,-214.797546387,137.212020874,
3,601.155639648,-209.181579590,145.583770752,617.787414551,-214.795867920,137.208282471,
4,601.151123047,-209.180328369,145.583724976,617.779968262,-214.794998169,137.206268311,
5,601.140686035,-209.179458618,145.582962036,617.773620605,-214.797225952,137.203475952,
6,601.150756836,-209.179229736,145.582321167,617.777526855,-214.798919678,137.201568604,
7,601.147277832,-209.176895142,145.579528809,617.784423828,-214.797622681,137.201858521,
8,601.131835938,-209.179626465,145.576644897,617.777038574,-214.797042847,137.200347900,
9,601.132446289,-209.180831909,145.574295044,617.765136719,-214.798538208,137.196884155,
10,601.132995605,-209.177780151,145.569641113,617.766967773,-214.796691895,137.197265625,
11,601.141601563,-209.175964355,145.571533203,617.762817383,-214.797088623,137.194549561,
12,601.130432129,-209.175704956,145.565475464,617.757995605,-214.798538208,137.191680908,
13,601.129699707,-209.174118042,145.564865112,617.758483887,-214.797515869,137.190170288,
14,601.136108398,-209.174377441,145.562454224,617.760498047,-214.797698975,137.188049316,
15,601.137817383,-209.174148560,145.561019897,617.764282227,-214.795928955,137.184036255,
16,601.122863770,-209.176544189,145.558013916,617.766784668,-214.794998169,137.181106567,
17,601.124755859,-209.175720215,145.551208496,617.758666992,-214.796966553,137.179580688,
18,601.125976563,-209.175277710,145.546783447,617.756286621,-214.797714233,137.175277710,
19,601.114746094,-209.177444458,145.541229248,617.758422852,-214.799240112,137.171051025,
20,601.112060547,-209.178237915,145.533111572,617.753417969,-214.801223755,137.167343140,
21,601.112915039,-209.176116943,145.530899048,617.747619629,-214.802703857,137.163085938,
22,601.123107910,-209.176223755,145.528381348,617.744140625,-214.802429199,137.160186768,
23,601.117248535,-209.177368164,145.525161743,617.750732422,-214.802474976,137.155502319,
24,601.112121582,-209.177307129,145.519577026,617.751403809,-214.804061890,137.152465820,
25,601.107727051,-209.180694580,145.510925293,617.749328613,-214.802825928,137.146530151,
26,601.104003906,-209.177413940,145.504638672,617.743774414,-214.803527832,137.140121460,
27,601.111694336,-209.178329468,145.500579834,617.741516113,-214.805938721,137.137893677,
28,601.124267578,-209.178329468,145.494750977,617.752868652,-214.805984497,137.131256104,
29,601.104125977,-209.178527832,145.486648560,617.747802734,-214.804580688,137.124465942,
30,601.106384277,-209.178695679,145.480636597,617.740966797,-214.802932739,137.119430542,
31,601.121154785,-209.176864624,145.477615356,617.736389160,-214.804183960,137.111938477,
32,601.112976074,-209.179244995,145.470748901,617.730773926,-214.806228638,137.109481812,
33,601.107666016,-209.180389404,145.461975098,617.732482910,-214.805465698,137.106033325,
34,601.114746094,-209.177352905,145.462646484,617.728637695,-214.806259155,137.099151611,
35,601.099304199,-209.177398682,145.457778931,617.740539551,-214.804519653,137.097396851,
36,601.107360840,-209.175750732,145.453948975,617.739685059,-214.802581787,137.091583252,
37,601.106445313,-209.176376343,145.453521729,617.729248047,-214.802520752,137.087295532,
38,601.102294922,-209.175262451,145.446609497,617.728820801,-214.802413940,137.085037231,
39,601.104614258,-209.174957275,145.442733765,617.730285645,-214.801589966,137.080108643,
40,601.103637695,-209.174209595,145.443435669,617.719116211,-214.801040649,137.077835083,
41,601.086364746,-209.174636841,145.442367554,617.722045898,-214.799987793,137.075485229,
42,601.097473145,-209.174041748,145.441619873,617.726440430,-214.797515869,137.074142456,
43,601.089050293,-209.173049927,145.438949585,617.724243164,-214.797363281,137.073806763,
44,601.089050293,-209.170989990,145.442108154,617.717712402,-214.797348022,137.072479248,
45,601.089172363,-209.169464111,145.440536499,617.706970215,-214.795318604,137.072784424,
46,601.083557129,-209.167892456,145.439666748,617.712463379,-214.792709351,137.075256348,
47,601.084533691,-209.167968750,145.442123413,617.698059082,-214.794204712,137.071746826,
48,601.080566406,-209.168243408,145.440277100,617.696899414,-214.792587280,137.068511963,
49,601.079162598,-209.164886475,145.445983887,617.698181152,-214.791076660,137.070159912,
50,601.089416504,-209.161499023,145.452056885,617.688232422,-214.789672852,137.072952271,
51,601.091003418,-209.161392212,145.452117920,617.694580078,-214.787536621,137.075317383,
52,601.072753906,-209.160842896,145.447021484,617.684692383,-214.788269043,137.073440552,
53,601.075805664,-209.160140991,145.453231812,617.680969238,-214.785339355,137.077667236,
54,601.060180664,-209.161834717,145.451614380,617.679992676,-214.786132813,137.082931519,
55,601.073059082,-209.158294678,145.458480835,617.672668457,-214.786514282,137.082260132,
56,601.057250977,-209.159912109,145.454406738,617.668151855,-214.785110474,137.079849243,
57,601.051574707,-209.160003662,145.449645996,617.669128418,-214.784500122,137.081146240,
58,601.052490234,-209.156219482,145.450820923,617.671630859,-214.782714844,137.084426880,
59,601.051574707,-209.156890869,145.455368042,617.662475586,-214.783462524,137.084121704,
60,601.036193848,-209.157806396,145.451278687,617.660278320,-214.781402588,137.082626343,
61,601.042724609,-209.152954102,145.456253052,617.651184082,-214.781051636,137.082977295,
62,601.049987793,-209.150695801,145.460433960,617.653747559,-214.782119751,137.083908081,
63,601.035217285,-209.155532837,145.457550049,617.651123047,-214.781951904,137.081817627,
64,601.031982422,-209.154052734,145.457489014,617.631896973,-214.781280518,137.080154419,
65,601.041564941,-209.148971558,145.455261230,617.632446289,-214.779449463,137.079345703,
66,601.042968750,-209.146575928,145.457763672,617.631713867,-214.778961182,137.081726074,
67,601.027343750,-209.147171021,145.456558228,617.628356934,-214.777191162,137.082336426,
68,601.041992188,-209.145721436,145.457397461,617.630432129,-214.775863647,137.080398560,
69,601.042541504,-209.141036987,145.458221436,617.631774902,-214.775131226,137.079086304,
70,601.030883789,-209.142257690,145.457427979,617.625122070,-214.771713257,137.080718994,
71,601.034484863,-209.143859863,145.460571289,617.617553711,-214.770690918,137.081176758,
72,601.024841309,-209.139678955,145.455749512,617.607543945,-214.771911621,137.076873779,
73,601.027221680,-209.141311646,145.460998535,617.608337402,-214.770843506,137.078979492,
74,601.032104492,-209.140594482,145.459869385,617.607788086,-214.772659302,137.078903198,
75,601.026855469,-209.141571045,145.458648682,617.602416992,-214.771179199,137.077896118,
76,601.013366699,-209.142166138,145.458786011,617.606994629,-214.767593384,137.079391479,
77,601.007446289,-209.140579224,145.458816528,617.613769531,-214.767333984,137.079772949,
78,601.003234863,-209.140853882,145.462097168,617.610900879,-214.767120361,137.077133179,
79,601.009826660,-209.139556885,145.456420898,617.598327637,-214.768173218,137.074035645,
80,601.010253906,-209.140838623,145.457321167,617.586120605,-214.768264771,137.071426392,
81,601.009033203,-209.136901855,145.458190918,617.583679199,-214.766052246,137.069625854,
82,601.003173828,-209.138046265,145.455108643,617.589660645,-214.762512207,137.070526123,
83,601.001098633,-209.137573242,145.456100464,617.590759277,-214.762649536,137.070785522,
84,601.002258301,-209.137588501,145.455764771,617.588378906,-214.762710571,137.068908691,
85,601.001953125,-209.139129639,145.455123901,617.582275391,-214.759613037,137.066329956,
86,601.003906250,-209.137298584,145.458923340,617.576965332,-214.757705688,137.062942505,
87,600.998474121,-209.135177612,145.457489014,617.576721191,-214.757766724,137.062545776,
88,600.999206543,-209.134353638,145.451766968,617.569091797,-214.757827759,137.061599731,
89,600.991271973,-209.132110596,145.446289063,617.555175781,-214.758331299,137.057312012,
90,600.989929199,-209.130477905,145.446594238,617.541870117,-214.758468628,137.054489136,
91,600.995483398,-209.131973267,145.447967529,617.547119141,-214.754791260,137.053436279,
92,600.976806641,-209.131256104,145.445648193,617.547485352,-214.753906250,137.054122925,
93,600.972839355,-209.130538940,145.441772461,617.547363281,-214.754638672,137.053619385,
94,600.980102539,-209.127136230,145.441787720,617.549926758,-214.752792358,137.051437378,
95,600.961608887,-209.129394531,145.444854736,617.536804199,-214.751556396,137.052719116,
96,600.962219238,-209.126663208,145.445205688,617.538452148,-214.750061035,137.052917480,
97,600.967102051,-209.124847412,145.444274902,617.528198242,-214.751739502,137.049362183,
98,600.964294434,-209.124877930,145.446228027,617.520507813,-214.751434326,137.049163818,
99,600.964416504,-209.121566772,145.444519043,617.523620605,-214.748779297,137.049530029,
100,600.969970703,-209.120574951,145.444000244,617.522399902,-214.747268677,137.047225952,
101,600.963134766,-209.121566772,145.442962646,617.524597168,-214.745849609,137.047851563,
102,600.955383301,-209.124145508,145.448822021,617.519409180,-214.746856689,137.051162720,
103,600.948730469,-209.119537354,145.446578979,617.512023926,-214.747924805,137.048019409,
104,600.943176270,-209.121063232,145.439483643,617.504943848,-214.748428345,137.043685913,
105,600.931335449,-209.121032715,145.437637329,617.501281738,-214.748321533,137.040725708,
106,600.943054199,-209.115341187,145.438964844,617.500000000,-214.748107910,137.038421631,
107,600.930786133,-209.116012573,145.437454224,617.488403320,-214.747863770,137.038208008,
108,600.931274414,-209.115951538,145.433349609,617.481689453,-214.747390747,137.034332275,
109,600.919616699,-209.117828369,145.428466797,617.477416992,-214.747009277,137.031387329,
110,600.916320801,-209.117660522,145.429016113,617.472778320,-214.747344971,137.031265259,
111,600.922607422,-209.113784790,145.426025391,617.473144531,-214.747451782,137.030364990,
112,600.906982422,-209.113693237,145.423522949,617.460815430,-214.747451782,137.025436401,
113,600.906921387,-209.113998413,145.421401978,617.457031250,-214.747940063,137.020935059,
114,600.897399902,-209.112976074,145.418792725,617.453735352,-214.747436523,137.019485474,
115,600.891662598,-209.114166260,145.413330078,617.449279785,-214.746627808,137.017959595,
116,600.892395020,-209.113265991,145.411758423,617.448669434,-214.745986938,137.017578125,
117,600.891967773,-209.111328125,145.414199829,617.437988281,-214.748199463,137.018325806,
118,600.883483887,-209.111099243,145.409210205,617.419677734,-214.749282837,137.015167236,
